Date,Query,Source,Neutral Sentiment,Negative Sentiment,Positive Sentiment,Total Mentions,Day Mentions,Hour Mentions,Gender_Male,Gender_Female
2018-05-10,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,1,1,0,0,100
2018-05-10,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-10,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-10,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-11,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-11,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-11,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-11,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-12,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-12,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-12,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-12,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-13,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-13,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-13,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-13,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-14,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,3,3,0,50,50
2018-05-14,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-14,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-14,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-15,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,2,2,0,0,100
2018-05-15,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-15,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-15,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-16,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,1,1,0,0,0
2018-05-16,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-16,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-16,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-17,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-17,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-17,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-17,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-18,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-18,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-18,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-18,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-19,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-19,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-19,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-19,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-20,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-20,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-20,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-20,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-21,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,1,1,0,0,100
2018-05-21,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-21,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-21,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-22,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,2,2,0,0,100
2018-05-22,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-22,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,1,1,0,100,0
2018-05-22,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-23,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-05-23,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-23,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-23,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-05-24,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,50,50,0,2,2,0,0,100
2018-05-24,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-24,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-24,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-04-28,"(""planned parenthood"") AND (province:mi)",twitter,86.67,12.38,0.95,105,105,4,61.4,38.6
2018-04-28,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-28,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-28,"(""planned parenthood"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-04-29,"(""planned parenthood"") AND (province:mi)",twitter,74.24,18.18,7.58,66,66,3,44.44,55.56
2018-04-29,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""planned parenthood"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-04-30,"(""planned parenthood"") AND (province:mi)",twitter,83.89,5,11.11,180,180,8,37.27,62.73
2018-04-30,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-30,"(""planned parenthood"") AND (province:mi)",news,100,0,0,3,3,0,0,0
2018-05-01,"(""planned parenthood"") AND (province:mi)",twitter,82.15,13.62,4.23,213,213,9,48.23,51.77
2018-05-01,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-01,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-01,"(""planned parenthood"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-05-02,"(""planned parenthood"") AND (province:mi)",twitter,86.66,11.67,1.67,120,120,5,56.94,43.06
2018-05-02,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-05-02,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-05-02,"(""planned parenthood"") AND (province:mi)",news,100,0,0,10,10,0,0,0
