Date,Query,Source,Neutral Sentiment,Negative Sentiment,Positive Sentiment,Total Mentions,Day Mentions,Hour Mentions,Gender_Male,Gender_Female
2018-04-29,"(""environmental"" OR ""global warming"" OR ""pollution"" OR ""environmental issues"") AND (province:mi)",forum,100,0,0,1,1,0,0,0
2018-04-29,"(""environmental"" OR ""global warming"" OR ""pollution"" OR ""environmental issues"") AND (province:mi)",news,100,0,0,15,15,1,0,0
2018-04-29,"(""environmental"" OR ""global warming"" OR ""pollution"" OR ""environmental issues"") AND (province:mi)",twitter,38.06,57.44,4.5,289,289,12,48.13,51.88
2018-04-29,"(""equality"" OR ""racism"" OR ((""human"" OR ""civil"") AND ""rights"") OR ""islamophobia"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""equality"" OR ""racism"" OR ((""human"" OR ""civil"") AND ""rights"") OR ""islamophobia"") AND (province:mi)",forum,100,0,0,2,2,0,0,0
2018-04-29,"(""equality"" OR ""racism"" OR ((""human"" OR ""civil"") AND ""rights"") OR ""islamophobia"") AND (province:mi)",news,100,0,0,11,11,0,0,0
2018-04-29,"(""equality"" OR ""racism"" OR ((""human"" OR ""civil"") AND ""rights"") OR ""islamophobia"") AND (province:mi)",twitter,66.73,28.59,4.68,1005,1005,42,49.74,50.26
2018-04-29,"(""gubernatorial"" OR ""election"") AND (""democrat"" OR ""democrats"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""gubernatorial"" OR ""election"") AND (""democrat"" OR ""democrats"") AND (province:mi)",forum,100,0,0,1,1,0,0,0
2018-04-29,"(""gubernatorial"" OR ""election"") AND (""democrat"" OR ""democrats"") AND (province:mi)",news,100,0,0,24,24,1,0,0
2018-04-29,"(""gubernatorial"" OR ""election"") AND (""democrat"" OR ""democrats"") AND (province:mi)",twitter,68.18,27.27,4.55,89,89,4,40.82,59.18
2018-04-29,"(""gubernatorial"" OR ""election"") AND (""republican"" OR ""republicans"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""gubernatorial"" OR ""election"") AND (""republican"" OR ""republicans"") AND (province:mi)",forum,100,0,0,1,1,0,0,0
2018-04-29,"(""gubernatorial"" OR ""election"") AND (""republican"" OR ""republicans"") AND (province:mi)",news,100,0,0,25,25,1,0,0
2018-04-29,"(""gubernatorial"" OR ""election"") AND (""republican"" OR ""republicans"") AND (province:mi)",twitter,81.58,14.47,3.95,76,76,3,56.25,43.75
2018-04-29,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",news,100,0,0,2,2,0,0,0
2018-04-29,"(""lcv"" OR ""league of conservation voters"") AND (province:mi)",twitter,100,0,0,1,1,0,0,0
2018-04-29,"(""obamacare"" OR ""healthcare"" OR ""health care"" OR ""health insurance"" OR ""medicare"" OR ""medicaid"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""obamacare"" OR ""healthcare"" OR ""health care"" OR ""health insurance"" OR ""medicare"" OR ""medicaid"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""obamacare"" OR ""healthcare"" OR ""health care"" OR ""health insurance"" OR ""medicare"" OR ""medicaid"") AND (province:mi)",news,100,0,0,33,33,1,0,0
2018-04-29,"(""obamacare"" OR ""healthcare"" OR ""health care"" OR ""health insurance"" OR ""medicare"" OR ""medicaid"") AND (province:mi)",twitter,67.38,29.37,3.25,1261,1261,53,46.2,53.8
2018-04-29,"(""opioid"" OR ""opioids"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""opioid"" OR ""opioids"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""opioid"" OR ""opioids"") AND (province:mi)",news,100,0,0,5,5,0,0,0
2018-04-29,"(""opioid"" OR ""opioids"") AND (province:mi)",twitter,67.36,29.86,2.78,145,145,6,35.9,64.1
2018-04-29,"(""planned parenthood"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""planned parenthood"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""planned parenthood"") AND (province:mi)",news,100,0,0,1,1,0,0,0
2018-04-29,"(""planned parenthood"") AND (province:mi)",twitter,74.24,18.18,7.58,66,66,3,44.44,55.56
2018-04-29,"(""policy"" OR ""policies"") AND (""democrat"" OR ""democrats"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""policy"" OR ""policies"") AND (""democrat"" OR ""democrats"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""policy"" OR ""policies"") AND (""democrat"" OR ""democrats"") AND (province:mi)",news,100,0,0,14,14,1,0,0
2018-04-29,"(""policy"" OR ""policies"") AND (""democrat"" OR ""democrats"") AND (province:mi)",twitter,66.66,28.21,5.13,39,39,2,42.86,57.14
2018-04-29,"(""policy"" OR ""policies"") AND (""republican"" OR ""republicans"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-29,"(""policy"" OR ""policies"") AND (""republican"" OR ""republicans"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-29,"(""policy"" OR ""policies"") AND (""republican"" OR ""republicans"") AND (province:mi)",news,100,0,0,11,11,0,0,0
