Flight Index,Coalition Partner,Campaign,Planned Start,Planned End
1,LCV,Enbridge Video,2018-04-28,2018-05-18
2,LCV,Anchor Video,2018-05-12,2018-05-31
3,LCV,Tunnel Video,2018-05-23,2018-05-31
4,Planned Parenthood,Issue-Based Images,2018-05-11,2018-05-31
5,Progress Michigan,Health Risks,2018-05-17,2018-05-28
6,Progress Michigan,Anti-Schuette Video,2018-08-08,2018-08-17
7,Progress Michigan,Pro-Gretchen Video,2018-08-18,2018-09-01
8,Planned Parenthood,Gretchen/Schuette Images,2018-08-03,2018-08-29
9,Planned Parenthood,Protect - Row vs Wade,2018-09-14,2018-11-09
