Campaign,Start,End,Reach
LCV,2018-05-02,2018-05-21,3836817
LCV,2018-05-02,2018-05-22,3838822
LCV,2018-05-02,2018-05-23,3864159
LCV,2018-05-02,2018-05-24,3917048
LCV,2018-05-02,2018-05-25,3990528
LCV,2018-05-02,2018-05-26,4031380
LCV,2018-05-02,2018-05-27,4075324
LCV,2018-05-02,2018-05-28,4095783
LCV,2018-05-02,2018-05-29,4095783
LCV,2018-05-02,2018-05-30,4103905
LCV,2018-05-02,2018-05-31,4105930
LCV,2018-05-02,2018-08-03,4105930
LCV,2018-05-02,2018-08-04,4105930
LCV,2018-05-02,2018-08-05,4105930
LCV,2018-05-02,2018-08-06,4105930
LCV,2018-05-03,2018-05-03,119200
LCV,2018-05-03,2018-05-04,211648
LCV,2018-05-03,2018-05-05,891136
LCV,2018-05-03,2018-05-06,1737985
LCV,2018-05-03,2018-05-07,2494464
LCV,2018-05-03,2018-05-08,2959361
LCV,2018-05-03,2018-05-09,3165186
LCV,2018-05-03,2018-05-10,3361281
LCV,2018-05-03,2018-05-11,3438082
LCV,2018-05-03,2018-05-12,3438082
LCV,2018-05-03,2018-05-13,3453954
LCV,2018-05-03,2018-05-14,3485186
LCV,2018-05-03,2018-05-15,3537922
LCV,2018-05-03,2018-05-16,3599363
LCV,2018-05-03,2018-05-17,3720202
LCV,2018-05-03,2018-05-18,3753008
LCV,2018-05-03,2018-05-19,3817389
LCV,2018-05-03,2018-05-20,3830071
LCV,2018-05-03,2018-05-21,3835822
LCV,2018-05-03,2018-05-22,3837827
LCV,2018-05-03,2018-05-23,3863158
LCV,2018-05-03,2018-05-24,3917066
LCV,2018-05-03,2018-05-25,3990542
LCV,2018-05-03,2018-05-26,4031392
LCV,2018-05-03,2018-05-27,4075335
LCV,2018-05-03,2018-05-28,4095794
LCV,2018-05-03,2018-05-29,4095794
LCV,2018-05-03,2018-05-30,4103915
LCV,2018-05-03,2018-05-31,4105940
LCV,2018-05-03,2018-08-03,4105940
LCV,2018-05-03,2018-08-04,4105940
LCV,2018-05-03,2018-08-05,4105940
LCV,2018-05-03,2018-08-06,4105940
LCV,2018-05-04,2018-05-04,109984
LCV,2018-05-04,2018-05-05,838016
LCV,2018-05-04,2018-05-06,1711617
LCV,2018-05-04,2018-05-07,2478592
LCV,2018-05-04,2018-05-08,2949633
LCV,2018-05-04,2018-05-09,3156995
LCV,2018-05-04,2018-05-10,3353601
LCV,2018-05-04,2018-05-11,3431426
LCV,2018-05-04,2018-05-12,3431426
LCV,2018-05-04,2018-05-13,3447810
LCV,2018-05-04,2018-05-14,3480066
LCV,2018-05-04,2018-05-15,3533314
LCV,2018-05-04,2018-05-16,3592195
LCV,2018-05-04,2018-05-17,3714058
LCV,2018-05-04,2018-05-18,3746873
LCV,2018-05-04,2018-05-19,3811262
LCV,2018-05-04,2018-05-20,3824971
LCV,2018-05-04,2018-05-21,3830728
LCV,2018-05-04,2018-05-22,3832731
LCV,2018-05-04,2018-05-23,3858058
LCV,2018-05-04,2018-05-24,3911960
LCV,2018-05-04,2018-05-25,3986457
LCV,2018-05-04,2018-05-26,4027306
LCV,2018-05-04,2018-05-27,4071248
LCV,2018-05-04,2018-05-28,4091706
LCV,2018-05-04,2018-05-29,4091706
LCV,2018-05-04,2018-05-30,4099827
LCV,2018-05-04,2018-05-31,4101851
LCV,2018-05-04,2018-08-03,4101851
LCV,2018-05-04,2018-08-04,4101851
LCV,2018-05-04,2018-08-05,4101851
LCV,2018-05-04,2018-08-06,4101851
LCV,2018-05-05,2018-05-05,778368
LCV,2018-05-05,2018-05-06,1684225
LCV,2018-05-05,2018-05-07,2463232
