Date,Category ,Summary,Link 
2018-05-22,Michigan Gubernatorial Race,Dem: Thanedar     Interview detailing attacks Thanedar made on other democratic opponents. Calling El-Sayed “just a rich kid” and claiming Whitmer “hasn’t had anything to show as her accomplishments.”,https://theintercept.com/2018/05/22/shri-thanedar-michigan-governor-race-shri-thanedar-abdul-el-sayed/
2018-05-22,Michigan Gubernatorial Race,"Good, quick overview of all the candidates.",https://www.detroitnews.com/story/news/politics/2018/05/21/michigan-governor-candidates/35169065/
2018-05-22,Michigan Gubernatorial Race,"Libertarians are included in the upcoming primary (the first time since 1998 that a third party has qualified to hold a primary in Michigan). The contested primary means Libertarian issues will be brought to the political conversation and has the potential to sway “Michigan’s famously independent, swing voters.”",http://michiganradio.org/post/libertarian-primary-first-time-michigan-history
2018-05-23,Planned Parenthood,"More information on Title X funding and how Trumps announcement will impact Planned Parenthood. Title X specifically serves those who don’t have Medicaid, meaning cutting this funding will directly impact a vulnerable population.",https://www.cnn.com/2018/05/22/health/title-x-planned-parenthood-defunding-reax-bn/index.html
2018-05-23,LCV,Michigan House has approved a bill that gives industry representatives a larger role in environmental regulation. The legislation creates private-sector panels (populated mostly by industry representatives) that could override agency decisions on rules and permits.,https://www.bridgemi.com/michigan-environment-watch/michigan-house-approves-bills-letting-industry-vote-environmental-rules
2018-05-23,LCV,About 100 protesters gathered at Snyder’s office yesterday to demand the state continue to provide bottles water to Flint residents. Water distribution was ended last month.,https://www.usnews.com/news/best-states/michigan/articles/2018-05-22/protesters-bottled-water-should-still-be-provided-in-flint
2018-05-23,Progress Michigan,"While educational outcomes have improved across the nation, Michigan continues to fall behind on test scores, on-time graduations and secondary school numbers. Many see the K-12 system as severely hurt by bad policies around school choice, many leading back to Betsy DeVoss (a supporter of Schuette). This article explores various aspects of the debate via a number of experts and education advocates.",http://www.mlive.com/news/index.ssf/2018/05/michigan_schools_on_a_race_to.html
2018-05-23,Michigan Gubernatorial Race,Rep: Schuette.  Schuette signs Americans for Tax Reform pledge to never raise taxes because he “will be Michigan's jobs and paychecks governor”.,https://twitter.com/SchuetteOnDuty/status/998962075480350720/photo/1
2018-05-23,Michigan Gubernatorial Race,Dem: Thanedar   Thanedar has hired David Bullock to manage his statewide campaign. Bullock is a prominent Detroit activist and pastor and is well known in the community. Shows Thanedar making an active push for support in Detroit.,https://www.detroitnews.com/story/news/local/michigan/2018/05/22/thanedar-campaign-manager-detroit-bullock/632750002/
2018-05-23,Michigan Gubernatorial Race,Democrats.    El-Sayed and Whitmer have released details about their finances to Bridge Magazine. Thanedar has refused to disclose his finances despite multiple statements voicing support for transparency from state elected leaders. Article details what each candidate has disclosed in response to Bridge’s request.,https://www.bridgemi.com/public-sector/michigan-democrats-el-sayed-whitmer-disclose-taxes-shri-thanedar-does-not
2018-05-25,Planned Parenthood,"Planned Parenthood considering litigation against Trump if he moves forward with proposed cut to Title X funding. The National Family Planning and Reproductive Health Association, a membership organization of Title X family planning clinics, also said it would consider litigation. ",http://thehill.com/policy/healthcare/389227-planned-parenthood-considers-litigation-on-trumps-proposed-changes-to
2018-05-25,LCV,"Snyder has approved an emergency order yesterday prohibiting ships from dropping anchors in the Straits of Mackinac following an April act that ruptured transmission cables and dented Line 5. The rule prohibits boats from deploying, dragging, setting or otherwise using an anchor in a defined area of the straits, except in cases of emergency.",https://www.detroitnews.com/story/news/local/michigan/2018/05/24/snyder-no-anchor-straits-mackinac/640956002/
2018-05-25,LCV,"New poll found 54% of Michigan voters want the Line 5 oil pipeline in the Straits of Mackinac to be shut down, 87% of voters said they are concerned that the 65-year-old pipeline could have oil spill in Northern Michigan.",http://michiganradio.org/post/new-poll-says-most-michigan-voters-want-line-5-shut-down
2018-05-25,LCV,Pair of legal challenges filed Monday State regulators failed to enforce environmental laws when they allowed additional structural supports for Line 5 without proper review. Claim Michigan DEQ didn't appropriately evaluate alternatives and the potential for damaging environmental effects when they granted permits earlier this year for Enbridge to install new screw anchors.,http://www.mlive.com/news/grand-rapids/index.ssf/2018/05/lawyers_claim_deq_failed_to_en.html
2018-05-25,Progress Michigan,Michigan has seen higher interest in guns over the past few months - stats show there has been an increase in sales and concealed pistol licenses issued since the Parkland shooting.,https://www.detroitnews.com/story/news/local/michigan/2018/05/23/gun-sales-concealed-pistol-licenses-michigan/35288961/
2018-05-25,Progress Michigan,"While Michigan provides free, state-funded preschool for 4-year-olds from low-to-moderate-income families, it offers little financial help for families with children ages three and younger. Michigan’s childcare assistance for children under 4 has some of the most restrictive income eligibility requirements in the nation. ",http://www.mlive.com/news/index.ssf/2018/05/early_childhood.html
2018-05-25,Michigan Gubernatorial Race,"Rep: Schuette
Calley’s recent ad attacks Schuette’s flip-flopping on various issues including abortion. Bridge looks into the truth behind the claim and finds that Schuette’s rhetoric around abortion has shifted. In his early political campaigns in the 80s, his stance was-  personally opposed to abortion but in favor of abortion rights. 
",https://www.bridgemi.com/michigan-truth-squad/michigan-truth-squad-brian-calley-says-bill-schuette-once-supported-abortion
2018-05-25,Michigan Gubernatorial Race,"Rep: Schuette 
Schuette discloses his personal finances that show assets totaling more than $13M. 
",https://www.usnews.com/news/best-states/michigan/articles/2018-05-24/schuette-financial-disclosure-shows-assets-total-13m
2018-05-25,Michigan Gubernatorial Race,"Rep: Schuette
Video of Schuette speaking on fixing Michigan roads: need to have warranties on roads, some form of guarantee’s, a “clean fresh scrub” of the transportation policy. 
",https://www.freep.com/videos/news/politics/2018/05/24/bill-schuette-fixing-michigan-roads/35321279/
2018-05-25,Michigan Gubernatorial Race,"Rep: Schuette
In depth article outlining Schuette’s political history, looks into inconsistencies in his stances (which have shifted more to the right in recent years). 
",https://www.freep.com/story/news/local/michigan/2018/05/25/bill-schuette-michigan-governor-candidate/584678002/
2018-05-25,Michigan Gubernatorial Race,"Dem: Thanedar
Video surfaces of Thanedar at a Republican rally for Mark Rubio in 2016. Video shows him clapping and seeking out a photo with the U.S. senator from Florida. Two Michigan political consultants have claimed that Thanedar has initially not been sure if he would run as a Democrat or Republican, questioning his stance as the “most progressive” candidate. ",https://www.detroitnews.com/story/news/local/michigan/2018/05/24/thanedar-rubio-rally-no-crime/642027002/
2018-05-25,Michigan Gubernatorial Race,"Dem: Whitmer
Whitmer facing challenge of being widely unknown by those outside of Democratic circles.  A recent poll showed 54% of 600 people surveyed didn't recognize her name among the Democratic candidates, compared with 31% for Thanedar and 47% for El-Sayed.",https://www.freep.com/story/news/local/michigan/2018/05/24/gretchen-whitmer-governor-michigan/629845002/
2018-05-25,Michigan Gubernatorial Race,"Dem: Whitmer
Gretchen Whitmer has released a plan called the “Michigan Sunshine Plan”, outlining how she would reform Michigan state government by making it more open, transparent and accountable to taxpayers. Schuette has announced a similar plan. 
",http://www.dailytribune.com/government-and-politics/20180524/gretchen-whitmer-announces-plan-to-make-state-government-more-transparent
2018-05-25,Michigan Gubernatorial Race,"Twitter says it’s adding special labels to tweets from some U.S. political candidates, including candidates for governor, ahead of this year’s midterm elections. The labels will include what office a person is running for and where. ",https://www.detroitnews.com/story/tech/2018/05/23/twitter-election-labels/35260107/
2018-05-25,Michigan Gubernatorial Race,"Redistricting group, trying to change the way Michigan draws political boundaries, rallied Thursday at the Capitol and urged state officials to put the proposal on the November ballot despite a legal challenge.",https://www.detroitnews.com/story/news/local/michigan/2018/05/24/voters-not-politicians-ballot-fight/642378002/
2018-05-28,Planned Parenthood,"*Not Michigan specific - Ireland has voted to legalize abortion up to 12 weeks, a landmark decision with global implications. ",https://www.ctvnews.ca/world/irish-voters-overwhelmingly-repeal-abortion-ban-1.3946437
2018-05-28,Progress Michigan ,"Michigan House Republicans are warming up to the idea of approving and later amending a marijuana legalization initiative. However, it is still not likely that the 55 votes required for House passage will be secured by the June 5 deadline. ",https://www.detroitnews.com/story/news/local/michigan/2018/05/28/michigan-republicans-pot-legalization-deadline/645315002/
2018-05-28,LCV,"Flint officials say there are more damaged lead and galvanized water service lines buried than previously estimated with an estimated 14,000 lines remaining buried. Efforts to replace the lines will continue throughout the year. ",https://www.detroitnews.com/story/news/michigan/flint-water-crisis/2018/05/27/flint-water-crisis-lead-pipes/35421281/
2018-05-28,LCV,"Article detailing the positive economic impacts of fishing and hunting in Michigan (support more than 70,000 jobs and generate about $5 billion annually). These activities also contribute huge amounts of funding to restoration and conservation efforts on public lands. ",https://www.freep.com/story/sponsor-story/michigan-wildlife-council/2018/05/28/angling-better-michigan-economy/641646002/
2018-05-28,Michigan Gubernatorial Race,"This week is the Mackinac Policy Conference this week. Focus will be on the following themes: Michigan's preparedness and competitiveness for business investment, readiness for next-generation mobility and trust in government, media and business institutions. **During the conferance there will be a gubernatorial debate.",http://www.mlive.com/news/index.ssf/2018/05/what_to_expect_at_the_2018_mac.html
