Date,Query,postdate,Content,Estimated Retweets in MI,Source
2018-06-06,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR ""incinerator"" OR ""emissions"" OR ""greenhouse emissions"" OR (""detroit"" AND ""incinerator""))",2018-06-06T05:24:05-04:00,The world’s largest chocolate maker @MarsGlobal has responded to the #ParisAgreement by spending $1 billion USD to… https://t.co/kmYxhZBxGP,3,http://twitter.com/UNFCCC/statuses/1004292836831920128
2018-06-06,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction""))",2018-06-06T05:42:33-04:00,MUST WATCH: How the three Forth Bridges represent three centuries of #engineering innovation - FULL VIDEO:… https://t.co/tOAHdfX0JW,2,http://twitter.com/TheB1M/statuses/1004297484091478016
2018-06-06,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction""))",2018-06-06T05:42:33-04:00,MUST WATCH: How the three Forth Bridges represent three centuries of #engineering innovation - FULL VIDEO:… https://t.co/tOAHdfX0JW,2,http://twitter.com/TheB1M/statuses/1004297484091478016
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T06:25:00-04:00,Michigan voters will decide whether to legalize the recreational use of marijuana https://t.co/ChkADR2hAa,4,http://twitter.com/crainsdetroit/statuses/1004308165821976577
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T06:25:00-04:00,Michigan voters will decide whether to legalize the recreational use of marijuana https://t.co/ChkADR2hAa,4,http://twitter.com/crainsdetroit/statuses/1004308165821976577
2018-06-06,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction""))",2018-06-06T06:53:22-04:00,C.A. Hull’s Mike Moss saves dog on bridge @75RougeRiver https://t.co/ioN7w3nEul,3,http://twitter.com/MDOT_MetroDet/statuses/1004315305458458624
2018-06-06,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction""))",2018-06-06T06:53:22-04:00,C.A. Hull’s Mike Moss saves dog on bridge @75RougeRiver https://t.co/ioN7w3nEul,3,http://twitter.com/MDOT_MetroDet/statuses/1004315305458458624
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T07:04:28-04:00,Voters will decide whether to legalize recreational marijuana in November after votes to adopt it fell short in the… https://t.co/u3dHKBlY6B,3,http://twitter.com/LindsayVanHulle/statuses/1004318096822362112
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T07:04:28-04:00,Voters will decide whether to legalize recreational marijuana in November after votes to adopt it fell short in the… https://t.co/u3dHKBlY6B,3,http://twitter.com/LindsayVanHulle/statuses/1004318096822362112
2018-06-06,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR ""incinerator"" OR ""emissions"" OR ""greenhouse emissions"" OR (""detroit"" AND ""incinerator""))",2018-06-06T07:11:32-04:00,"@_A__Dub On air, Hewitt:
1/ Praises Pruitt when son works at EPA.
2/ Praises Clean Water Act weakening when his oil… https://t.co/gCGZdY6Pqb",2,http://twitter.com/peoplerawful/statuses/1004319876239056896
